2026-08-21 19:19 | brkX2-12h | SANTOSUSDT | lolos 7/9 | belum: 3 bar bullish (3 candle terakhir close>open)
2026-08-21 19:19 | brkX2-12h | PEOPLEUSDT | lolos 5/9 | belum: vol>=0.6x dan <=5.0xMA (skrg 5.86x); RSI<60 (skrg 82.6); Stoch%K<70 (skrg 84.3)
2026-08-21 19:19 | brkX2-12h | LDOUSDT | lolos 5/9 | belum: 3 bar bullish (3 candle terakhir close>open); RSI<60 (skrg 77.0); Stoch%K<70 (skrg 87.0)
2026-08-21 19:19 | brkX2-12h | OPUSDT | lolos 6/9 | belum: RSI<60 (skrg 74.4); Stoch%K<70 (skrg 94.8)
2026-08-21 19:19 | brkX2-12h | LUNCUSDT | lolos 6/9 | belum: RSI<60 (skrg 73.5); Stoch%K<70 (skrg 92.8)
2026-08-21 19:19 | brkX2-12h | APTUSDT | lolos 6/9 | belum: RSI<60 (skrg 75.0); Stoch%K<70 (skrg 91.9)
2026-08-21 19:19 | brkX2-12h | OSMOUSDT | lolos 5/9 | belum: 3 bar bullish (3 candle terakhir close>open); RSI<60 (skrg 61.9); Stoch%K<70 (skrg 73.9)
2026-08-21 19:19 | brkX2-12h | PROMUSDT | lolos 6/9 | belum: 3 bar bullish (3 candle terakhir close>open); ATR%<9.0 (skrg 12.0%)
2026-08-21 19:19 | brkX2-12h | ARBUSDT | lolos 5/9 | belum: 3 bar bullish (3 candle terakhir close>open); RSI<60 (skrg 80.7); Stoch%K<70 (skrg 93.0)
2026-08-21 19:19 | brkX2-12h | WBTCUSDT | lolos 6/9 | belum: RSI<60 (skrg 88.6); Stoch%K<70 (skrg 91.7)
2026-08-21 19:19 | brkX2-12h | SUIUSDT | lolos 6/9 | belum: RSI<60 (skrg 76.8); Stoch%K<70 (skrg 86.4)
2026-08-21 19:19 | brkX2-12h | FLOKIUSDT | lolos 6/9 | belum: RSI<60 (skrg 86.9); Stoch%K<70 (skrg 92.8)
2026-08-21 19:19 | brkX2-12h | PENDLEUSDT | lolos 6/9 | belum: RSI<60 (skrg 72.1); Stoch%K<70 (skrg 87.8)
2026-08-21 19:19 | brkX2-12h | WBETHUSDT | lolos 6/9 | belum: RSI<60 (skrg 89.7); Stoch%K<70 (skrg 90.7)
2026-08-21 19:19 | brkX2-12h | WLDUSDT | lolos 6/9 | belum: RSI<60 (skrg 71.5); Stoch%K<70 (skrg 90.0)
2026-08-21 19:19 | brkX2-12h | SEIUSDT | lolos 6/9 | belum: RSI<60 (skrg 74.3); Stoch%K<70 (skrg 94.9)
2026-08-21 19:19 | brkX2-12h | TIAUSDT | lolos 6/9 | belum: RSI<60 (skrg 77.0); Stoch%K<70 (skrg 94.0)
2026-08-21 19:19 | brkX2-12h | ORDIUSDT | lolos 5/9 | belum: 3 bar bullish (3 candle terakhir close>open); RSI<60 (skrg 72.8); Stoch%K<70 (skrg 82.1)
2026-08-21 19:19 | brkX2-12h | ACEUSDT | lolos 5/9 | belum: Supertrend (masih Downtrend); 3 bar bullish (3 candle terakhir close>open); ATR%<9.0 (skrg 20.3%)
2026-08-21 19:19 | brkX2-12h | STRKUSDT | lolos 6/9 | belum: RSI<60 (skrg 69.3); Stoch%K<70 (skrg 92.2)
2026-08-21 19:19 | brkX2-12h | WIFUSDT | lolos 6/9 | belum: RSI<60 (skrg 85.7); Stoch%K<70 (skrg 92.5)
2026-08-21 19:19 | brkX2-12h | ENAUSDT | lolos 5/9 | belum: vol>=0.6x dan <=5.0xMA (skrg 7.65x); RSI<60 (skrg 89.3); Stoch%K<70 (skrg 93.6)
2026-08-21 19:19 | brkX2-12h | TAOUSDT | lolos 6/9 | belum: RSI<60 (skrg 75.6); Stoch%K<70 (skrg 90.8)
2026-08-21 19:19 | brkX2-12h | ZROUSDT | lolos 5/9 | belum: 3 bar bullish (3 candle terakhir close>open); RSI<60 (skrg 75.6); Stoch%K<70 (skrg 83.1)
2026-08-21 19:19 | brkX2-12h | RENDERUSDT | lolos 6/9 | belum: RSI<60 (skrg 79.0); Stoch%K<70 (skrg 90.2)
2026-08-21 19:19 | brkX2-12h | NEIROUSDT | lolos 5/9 | belum: vol>=0.6x dan <=5.0xMA (skrg 6.86x); RSI<60 (skrg 85.8); Stoch%K<70 (skrg 87.0)
